,state,Real Result
0,Alabama,Donald Trump
1,Alaska,Donald Trump
2,Arizona,Joe Biden
3,Arkansas,Donald Trump
4,California,Joe Biden
5,Colorado,Joe Biden
6,Connecticut,Joe Biden
7,Delaware,Joe Biden
8,Florida,Donald Trump
9,Georgia,Joe Biden
10,Hawaii,Joe Biden
11,Idaho,Donald Trump
12,Illinois,Joe Biden
13,Indiana,Donald Trump
14,Iowa,Donald Trump
15,Kansas,Donald Trump
16,Kentucky,Donald Trump
17,Louisiana,Donald Trump
18,Maine,Joe Biden
19,Maryland,Joe Biden
20,Massachusetts,Joe Biden
21,Michigan,Joe Biden
22,Minnesota,Joe Biden
23,Mississippi,Donald Trump
24,Missouri,Donald Trump
25,Montana,Donald Trump
26,Nebraska,Donald Trump
27,Nevada,Joe Biden
28,New Hampshire,Joe Biden
29,New Jersey,Joe Biden
30,New Mexico,Joe Biden
31,New York,Joe Biden
32,North Carolina,Donald Trump
33,North Dakota,Donald Trump
34,Ohio,Donald Trump
35,Oklahoma,Donald Trump
36,Oregon,Joe Biden
37,Pennsylvania,Joe Biden
38,Rhode Island,Joe Biden
39,South Carolina,Donald Trump
40,South Dakota,Donald Trump
41,Tennessee,Donald Trump
42,Texas,Donald Trump
43,Utah,Donald Trump
44,Vermont,Joe Biden
45,Virginia,Joe Biden
46,Washington,Joe Biden
47,West Virginia,Donald Trump
48,Wisconsin,Joe Biden
49,Wyoming,Donald Trump
